title,Score,Genre,Date,duree,Descriptions,Acteurs,Public
Planet Earth II,9.5,Documentary,2016,298,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,"David Attenborough,Chadden Hunter,Gordon Buchanan",TV-G
Breaking Bad,9.5,"Crime,Drama,Thriller",2008–2013,49,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,"Vince Gilligan,Bryan Cranston,Aaron Paul,Anna Gunn",TV-MA
Planet Earth,9.4,Documentary,2006,538,"Emmy Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition.","Sigourney Weaver,David Attenborough,Nikolay Drozdov",TV-PG
Band of Brothers,9.4,"Drama,History,War",2001,594,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.","Scott Grimes,Damian Lewis,Ron Livingston",TV-MA
Chernobyl,9.4,"Drama,History,Thriller",2019,330,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.","Craig Mazin,Jessie Buckley,Jared Harris,Stellan Skarsgård",TV-MA
The Wire,9.3,"Crime,Drama,Thriller",2002–2008,59,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.","David Simon,Dominic West,Lance Reddick,Sonja Sohn",TV-MA
Blue Planet II,9.3,Documentary,2017–2022,364,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.","David Attenborough,Peter Drost,Russell Boulter",TV-G
Avatar: The Last Airbender,9.3,"Animation,Action,Adventure",2005–2008,23,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","Michael Dante DiMartino,Bryan Konietzko,Dee Bradley Baker,Zach Tyler Eisen,Mae Whitman",TV-Y7-FV
Cosmos: A Spacetime Odyssey,9.3,Documentary,2014,557,An exploration of our discovery of the laws of nature and coordinates in space and time.,"Neil deGrasse Tyson,Christopher Emerson,Keythe Farley",TV-PG
The Sopranos,9.2,"Crime,Drama",1999–2007,55,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.","David Chase,James Gandolfini,Lorraine Bracco,Edie Falco",TV-MA
Cosmos,9.3,Documentary,1980,13,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,"Ann Druyan,Carl Sagan,Steven Soter,Carl Sagan,Jaromír Hanzlík,Jonathan Fahn",TV-PG
Our Planet,9.3,Documentary,2019,403,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America.",David Attenborough,TV-G
Game of Thrones,9.2,"Action,Adventure,Drama",2011–2019,57,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","David Benioff,D.B. Weiss,Emilia Clarke,Peter Dinklage,Kit Harington",TV-MA
Rick and Morty,9.1,"Animation,Adventure,Comedy",2013– ,23,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"Dan Harmon,Justin Roiland,Justin Roiland,Chris Parnell,Spencer Grammer",TV-14
The World at War,9.2,"Documentary,History,War",1973–1974,52,,"Laurence Olivier,Averell Harriman,Albert Speer",TV-PG
Fullmetal Alchemist: Brotherhood,9.1,"Animation,Action,Adventure",2009–2010,24,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"Hiromu Arakawa,Kent Williams,Iemasa Kayumi,Matthew Leonhart",TV-14
Foyle's War,8.6,"Crime,Drama,Mystery",2002–2015,90,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war.","Anthony Horowitz,Michael Kitchen,Honeysuckle Weeks,Anthony Howell",TV-14
John Adams,8.5,"Biography,Drama,History",2008,71,"The life of one of the USA's Founding Fathers, its second President, and his role in the nation's first 50 years.","Paul Giamatti,Laura Linney,John Dossett",TV-14
X-Men: The Animated Series,8.5,"Animation,Action,Adventure",1992–1997,23,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.,"Mark Edward Edens,Sidney Iwanter,Eric Lewald,Cedric Smith,Cal Dodd,Lenore Zann",TV-Y7
The Defiant Ones,8.5,"Documentary,Biography,Crime",2017,1,"""The Defiant Ones"" examines the partnership between Jimmy Iovine and Dr. Dre - one the son of a Brooklyn longshoreman, the other straight out of Compton - and their leading roles in a chain of transformative events in contemporary culture.","Bono,Stevie Nicks,Dr. Dre",TV-MA
Black Books,8.5,Comedy,2000–2004,25,"Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many adventures ensue.","Dylan Moran,Dylan Moran,Bill Bailey,Tamsin Greig",TV-PG
Southland,8.5,"Crime,Drama,Thriller",2009–2013,42,The lives of Police Officers working for the Los Angeles Police Department.,"Ann Biderman,Michael Cudlitz,Shawn Hatosy,Regina King",TV-MA
Derry Girls,8.5,Comedy,2018–2022,30,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s.,"Lisa McGee,Saoirse-Monica Jackson,Louisa Harland,Tara Lynne O'Neill",TV-MA
The Knick,8.5,"Drama,History",2014–2015,58,A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century.,"Jack Amiel,Michael Begler,André Holland,Clive Owen,Jeremy Bobb",TV-MA
The Great British Baking Show,8.6,Reality-TV,2010– ,1,Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.,"Paul Hollywood,Mary Berry,Prue Leith",TV-PG
Big Little Lies,8.5,"Crime,Drama,Mystery",2017–2019,1,The apparently-perfect lives of upper-class mothers of students at a prestigious elementary school unravel to the point of murder when a single mother moves to their quaint California beach town.,"David E. Kelley,Reese Witherspoon,Nicole Kidman,Shailene Woodley",TV-MA
Your Lie in April,8.6,"Animation,Comedy,Drama",2014–2015,23,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.,"Natsuki Hanae,Risa Taneda,Ayane Sakura",TV-PG
Wentworth,8.6,"Crime,Drama,Thriller",2013–2021,45,The confronting look into the lives of the inmates and prison staff of Wentworth Correctional Centre as they navigate the ups and downs of their lives in the prison system.,"Reg Watson,Lara Radulovich,Kate Atkinson,Katrina Milosevic,Robbie Magasiva",TV-MA
Alfred Hitchcock Presents,8.5,"Comedy,Crime,Drama",1955–1962,25,"Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not.","Alfred Hitchcock,Harry Tyler,John Williams",TV-14
My Brilliant Friend,8.6,Drama,2018– ,1,A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,"Saverio Costanzo,Alba Rohrwacher,Margherita Mazzucco,Gaia Girace",TV-MA
The Night Of,8.5,"Crime,Drama,Mystery",2016,525,"After a night of partying with a woman he picked up, a man wakes up to find her stabbed to death and is charged with her murder.","Richard Price,Steven Zaillian,Riz Ahmed,John Turturro,Bill Camp",TV-MA
The Angry Video Game Nerd,8.5,Comedy,2004– ,35,,"James Rolfe,James Rolfe,Mike Matei,Kyle Justin",TV-MA
Generation Kill,8.5,"Drama,War",2008,70,"A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003.","Alexander Skarsgård,James Ransone,Lee Tergesen",TV-MA
Chef's Table,8.5,Documentary,2015–2019,50,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.","Massimo Bottura,Ruth Reichl,Francis Mallmann",TV-MA
Regular Show,8.5,"Animation,Action,Adventure",2009–2017,23,The daily surreal adventures of a blue jay and raccoon duo that attempt to deal with their mundane jobs as groundskeepers at the local park.,"J.G. Quintel,J.G. Quintel,William Salyers,Sam Marin",TV-PG
Mr Inbetween,8.6,"Crime,Drama",2018–2021,30,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire.","Scott Ryan,Scott Ryan,Chika Yasumura,Justin Rosniak",TV-MA
The Expanse,8.5,"Drama,Mystery,Sci-Fi",2015–2022,1,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.","Daniel Abraham,Mark Fergus,Ty Franck,Steven Strait,Dominique Tipper,Wes Chatham",TV-14
Community,8.5,Comedy,2009–2015,22,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,"Dan Harmon,Joel McHale,Danny Pudi,Donald Glover",TV-14
Schitt's Creek,8.5,Comedy,2015–2020,22,"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues.","Dan Levy,Eugene Levy,Eugene Levy,Catherine O'Hara,Dan Levy",TV-14
Hannibal,8.5,"Crime,Drama,Horror",2013–2015,44,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,"Bryan Fuller,Hugh Dancy,Mads Mikkelsen,Caroline Dhavernas",TV-MA
Umbre,8.8,"Crime,Drama,Thriller",2014–2019,45,"Umbre follows Relu, an enforcer for a small-time mob boss, as he struggles to keep his family in the dark about his job. The secrets Relu keeps become increasingly oppressive and the lies begin to surface.","Serban Pavlu,Maria Obretin,Andreea Vasile",TV-MA
Cobra Kai,8.5,"Action,Comedy,Drama",2018– ,30,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","Josh Heald,Jon Hurwitz,Hayden Schlossberg,Ralph Macchio,William Zabka,Courtney Henggeler",TV-14
Futurama,8.5,"Animation,Adventure,Comedy",1999–2023,22,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.","David X. Cohen,Matt Groening,Billy West,John DiMaggio,Katey Sagal",TV-14
Rurouni Kenshin: Trust and Betrayal,8.6,"Animation,Action,Adventure",1999,118,"In the era of Japan's Meiji Restoration, an assassin regains his humanity.","Mayo Suzukaze,Junko Iwao,Nozomu Sasaki",TV-MA
Jujutsu Kaisen,8.6,"Animation,Action,Adventure",2020– ,24,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,"Junya Enoki,Adam McArthur,Yûichi Nakamura",TV-MA
Spartacus: Gods of the Arena,8.5,"Action,Adventure,Biography",2011,331,"In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household.","Steven S. DeKnight,John Hannah,Manu Bennett,Peter Mensah",TV-MA
Silicon Valley,8.5,Comedy,2014–2019,28,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.","John Altschuler,Mike Judge,Dave Krinsky,Thomas Middleditch,T.J. Miller,Josh Brener",TV-MA
From the Earth to the Moon,8.6,"Action,Drama,History",1998,1,Dramatized portrayal of the Apollo manned space program.,"Tom Hanks,Nick Searcy,Lane Smith",TV-14
Twin Peaks,8.5,"Crime,Drama,Horror",2017,1,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,"Mark Frost,David Lynch,Kyle MacLachlan,Sheryl Lee,Michael Horse",TV-MA
Trailer Park Boys,8.6,"Comedy,Crime",2001–2018,30,Three petty felons have a documentary made about their life in a trailer park.,"Mike Clattenburg,John Paul Tremblay,Robb Wells,Mike Smith",TV-MA
Detectorists,8.6,Comedy,2014–2022,30,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.","Mackenzie Crook,Mackenzie Crook,Toby Jones,Gerard Horan",TV-14
Endeavour,8.6,"Crime,Drama,Mystery",2012–2022,89,"Set from 1965 to 1971, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.","Shaun Evans,Roger Allam,James Bradshaw",TV-14
Neon Genesis Evangelion,8.5,"Animation,Action,Drama",1995–1996,24,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,"Hideaki Anno,Megumi Ogata,Megumi Hayashibara,Kotono Mitsuishi",TV-MA
Fullmetal Alchemist,8.5,"Animation,Action,Adventure",2003–2004,24,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's stone.","Vic Mignogna,Aaron Dismuke,Romi Park",TV-PG
Doctor Who,8.6,"Adventure,Drama,Sci-Fi",2005– ,45,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,"Sydney Newman,Jodie Whittaker,Peter Capaldi,Pearl Mackie",TV-PG
Extraordinary Attorney Woo,8.7,Drama,2022,75,"About an autistic 27-year-old lawyer. Due to her high IQ of 164, impressive memory, and creative thought process, the brilliant Woo Young Woo graduated at the top of her class from a prestigious law school.","Park Eun-bin,Kang Tae-oh,Kang Ki-young",TV-14
Sons of Anarchy,8.6,"Crime,Drama,Thriller",2008–2014,45,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,"Kurt Sutter,Charlie Hunnam,Katey Sagal,Mark Boone Junior",TV-MA
North & South,8.6,"Drama,Romance",2004,235,"North and South is a four part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle class southerner who is forced to move to the northern town of Milton.","Daniela Denby-Ashe,Richard Armitage,Tim Pigott-Smith",TV-PG
Mob Psycho 100,8.6,"Animation,Action,Comedy",2016– ,24,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.","Setsuo Ito,Takahiro Sakurai,Akio Ôtsuka",TV-14
Ezel,8.7,"Crime,Drama,Thriller",2009–2011,90,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.","Kenan Imirzalioglu,Cansu Dere,Yigit Özsener",TV-14
Brass Eye,8.6,Comedy,1997–2001,25,,"Christopher Morris,Mark Heap,Kevin Eldon",TV-MA
Skam,8.6,"Drama,Romance",2015–2017,30,"The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point of view.","Julie Andem,Josefine Frida Pettersen,Iman Meskini,Ulrikke Falch",Not Rated
Spartacus,8.5,"Action,Adventure,Biography",2010–2013,55,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.","Steven S. DeKnight,Andy Whitfield,Lucy Lawless,Manu Bennett",TV-MA
Samurai Jack,8.5,"Animation,Action,Adventure",2001–2017,25,"A samurai, sent through time, fights to return home and save the world.","Genndy Tartakovsky,Phil LaMarr,Mako,Kevin Michael Richardson",TV-MA
Shameless,8.6,"Comedy,Drama",2011–2021,46,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","Paul Abbott,John Wells,Emmy Rossum,William H. Macy,Ethan Cutkosky",TV-MA
Westworld,8.5,"Drama,Mystery,Sci-Fi",2016–2022,62,"At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence.","Lisa Joy,Jonathan Nolan,Evan Rachel Wood,Jeffrey Wright,Ed Harris",TV-MA
Whose Line Is It Anyway?,8.5,"Comedy,Game-Show",1998–2007,30,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.,"Mark Leveson,Dan Patterson,Drew Carey,Colin Mochrie,Ryan Stiles",TV-PG
Through the Wormhole,8.6,Documentary,2010–2017,1,"Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there before the beginning? Are we really alone? Is there a creator? These questions have been pondered by the most exquisite minds of the human race. Now, science has evolved to the point ...","Morgan Freeman,Sean Carroll,Michio Kaku",TV-PG
Letterkenny,8.7,Comedy,2016– ,30,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.","Jared Keeso,Jacob Tierney,Jared Keeso,Nathan Dales,Michelle Mylett",TV-MA
The Office,8.5,"Comedy,Drama",2001–2003,30,The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.,"Ricky Gervais,Stephen Merchant,Ricky Gervais,Martin Freeman,Mackenzie Crook",TV-MA
Mr. Robot,8.6,"Crime,Drama,Thriller",2015–2019,49,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.","Sam Esmail,Rami Malek,Christian Slater,Carly Chaikin",TV-MA
I'm Alan Partridge,8.6,Comedy,1997–2002,29,,"Steve Coogan,Simon Greenall,Felicity Montagu",TV-MA
Louie,8.5,"Comedy,Drama",2010–2015,22,"The life of Louie C.K., a divorced comedian living in New York with two kids.","Louis C.K.,Louis C.K.,Hadley Delany,Ursula Parker",TV-MA
The IT Crowd,8.5,Comedy,2006–2013,25,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.","Chris O'Dowd,Richard Ayoade,Katherine Parkinson",TV-14
Samurai Champloo,8.6,"Animation,Action,Adventure",2004–2005,24,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""","Kazuya Nakai,Ginpei Sato,Ayako Kawasumi",TV-MA
Black Sun,8.9,"Crime,Drama,Thriller",2017– ,1,,"Dragan Bjelogrlic,Andrija Kuzmanovic,Marija Bergam,Dragan Bjelogrlic",TV-MA
What We Do in the Shadows,8.6,"Comedy,Fantasy,Horror",2019– ,30,A look into the daily (or rather nightly) lives of four vampires who've lived together on Staten Island for over a century.,"Jemaine Clement,Kayvan Novak,Matt Berry,Natasia Demetriou",TV-MA
"Yes, Prime Minister",8.6,Comedy,1986–1987,30,,"Paul Eddington,Nigel Hawthorne,Derek Fowlds",TV-PG
The Bureau,8.7,"Drama,Thriller",2015– ,52,"After six years of undercover work in Syria, French intelligence officer Malotru returns home, where he struggles to forget his undercover identity, train a young recruit, and investigate when a colleague disappears in Algeria.","Eric Rochant,Mathieu Kassovitz,Florence Loiret Caille,Jonathan Zaccaï",TV-MA
